城市,特征,重要性,更新时间
博尔塔拉蒙古自治州,温度,0.6417,2026-04-15 13:41:29
博尔塔拉蒙古自治州,风速,0.5979,2026-04-15 13:41:29
博尔塔拉蒙古自治州,AQI_roll_mean_3,0.4269,2026-04-15 13:41:29
博尔塔拉蒙古自治州,降水量,0.3983,2026-04-15 13:41:29
博尔塔拉蒙古自治州,小时,0.3912,2026-04-15 13:41:29
博尔塔拉蒙古自治州,AQI_lag_1,0.3903,2026-04-15 13:41:29
博尔塔拉蒙古自治州,AQI_lag_2,0.3542,2026-04-15 13:41:29
厦门,湿度,0.6798,2026-04-15 13:41:29
厦门,温度,0.6645,2026-04-15 13:41:29
厦门,风速,0.5524,2026-04-15 13:41:29
厦门,AQI_roll_mean_3,0.4766,2026-04-15 13:41:29
厦门,小时,0.4666,2026-04-15 13:41:29
厦门,AQI_lag_1,0.44,2026-04-15 13:41:29
厦门,AQI_lag_2,0.3754,2026-04-15 13:41:29
厦门,气压,0.0237,2026-04-15 13:41:29
双鸭山,温度,0.6569,2026-04-15 13:41:29
双鸭山,湿度,0.6527,2026-04-15 13:41:29
双鸭山,风速,0.5289,2026-04-15 13:41:29
双鸭山,AQI_roll_mean_3,0.4827,2026-04-15 13:41:29
双鸭山,AQI_lag_1,0.4385,2026-04-15 13:41:29
双鸭山,降水量,0.4088,2026-04-15 13:41:29
双鸭山,AQI_lag_2,0.3679,2026-04-15 13:41:29
双鸭山,小时,0.3656,2026-04-15 13:41:29
台州,湿度,0.6313,2026-04-15 13:41:29
台州,温度,0.6064,2026-04-15 13:41:29
台州,风速,0.5752,2026-04-15 13:41:29
台州,AQI_roll_mean_3,0.4564,2026-04-15 13:41:29
台州,AQI_lag_1,0.415,2026-04-15 13:41:29
台州,AQI_lag_2,0.3861,2026-04-15 13:41:29
台州,小时,0.3043,2026-04-15 13:41:29
台州,气压,0.0849,2026-04-15 13:41:29
合肥,湿度,0.6273,2026-04-15 13:41:29
合肥,温度,0.5941,2026-04-15 13:41:29
合肥,风速,0.561,2026-04-15 13:41:29
合肥,小时,0.4035,2026-04-15 13:41:29
合肥,AQI_roll_mean_3,0.3625,2026-04-15 13:41:29
合肥,AQI_lag_1,0.3435,2026-04-15 13:41:29
合肥,AQI_lag_2,0.293,2026-04-15 13:41:29
合肥,降水量,0.0422,2026-04-15 13:41:29
吉安,湿度,0.7102,2026-04-15 13:41:29
吉安,温度,0.6838,2026-04-15 13:41:29
吉安,风速,0.5878,2026-04-15 13:41:29
吉安,AQI_roll_mean_3,0.4698,2026-04-15 13:41:29
吉安,AQI_lag_2,0.4566,2026-04-15 13:41:29
吉安,小时,0.3769,2026-04-15 13:41:29
吉安,AQI_lag_1,0.3734,2026-04-15 13:41:29
吉安,降水量,0.0789,2026-04-15 13:41:29
吉林,湿度,0.635,2026-04-15 13:41:29
吉林,温度,0.5941,2026-04-15 13:41:29
